#,关键词,搜索量,百度收录,百度推广,谷歌收录,P指数,周关注度,月关注度,季关注度,男性,女性
69,葡萄糖,732,69900000,6,36300000,难,+5%,-16%,-15%,62.95%,37.05%
25,氯雷他定片,569,1110000,0,0,中等,+5%,+4%,-10%,64.05%,35.95%
84,维a酸乳膏,392,725000,2,647000,易,+4%,-1%,+5%,51.52%,48.48%
76,氯雷他定,330,3880000,0,378000,中等,+5%,+11%,-4%,67.39%,32.61%
28,复方甘草片,273,850000,2,0,易,-11%,+5%,-35%,67.06%,32.94%
87,鱼石脂软膏,252,577000,2,169000,易,+1%,+6%,+2%,64.51%,35.49%
12,复方地芬诺酯片,181,118000,2,391000,易,+3%,-13%,0%,70.05%,29.95%
72,头孢曲松钠,173,19000000,0,536000,中等,+2%,-11%,-13%,68.3%,31.7%
19,柴胡舒肝丸,170,173000,0,0,易,+3%,-3%,-20%,63.82%,36.18%
10,熊胆粉,158,596000,0,291000,易,+16%,+25%,-22%,69.05%,30.95%
42,盐酸氨溴索口服溶液,156,258000,0,0,易,+6%,+14%,-45%,66.45%,33.55%
20,盐酸地芬尼多片,151,556000,0,0,易,0%,-9%,-4%,58.53%,41.47%
41,硫酸庆大霉素,116,1060000,2,0,中等,+6%,-19%,+13%,65.55%,34.45%
38,替硝唑片,112,390000,0,0,易,+10%,+26%,-14%,63.85%,36.15%
11,三肾丸,104,258000,0,1200000,易,-6%,-2%,-16%,80.13%,19.87%
58,盐酸特比萘芬乳膏,93,240000,2,0,易,-,-,-,-%,-%
4,阿昔洛韦乳膏,93,1070000,6,424000,中等,-12%,-9%,+7%,65.66%,34.34%
90,红花注射液,91,433000,0,1160000,易,+17%,-11%,-25%,64.34%,35.66%
53,建曲,91,945000,0,0,易,+20%,-9%,0%,61.81%,38.19%
70,胃蛋白酶,84,3790000,6,1980000,中等,+75%,+14%,+612%,59.26%,40.74%
50,甲硝唑栓,81,693000,2,0,易,+16%,-6%,0%,49.44%,50.56%
80,非诺贝特胶囊,80,345000,2,323000,易,-,-,-,-%,-%
29,参桂鹿茸丸,78,84900,0,0,易,-9%,-8%,-35%,72.2%,27.8%
46,理中丸,76,1930000,0,0,易,+35%,-28%,-3%,68.82%,31.18%
1,复方甘草口服溶液,69,573000,0,329000,易,-,-,-,-%,-%
74,护肝宁片,53,130000,0,670000,易,-,-,-,-%,-%
52,奥扎格雷,52,175000,2,0,易,-,-,-,-%,-%
8,托吡卡胺滴眼液,49,206000,2,120000,易,-,-,-,-%,-%
9,尿素乳膏,44,682000,2,303000,易,-6%,+7%,-25%,57.4%,42.6%
79,琥珀安神丸,39,44300,2,114000,易,0%,+20%,-19%,59.14%,40.86%
47,阿归养血糖浆,39,136000,0,0,易,-,-,-,-%,-%
32,甲磺酸帕珠沙星,36,354000,0,0,易,-,-,-,-%,-%
15,蛇胆川贝散,30,660000,0,166000,易,+7%,-12%,+400%,71.88%,28.12%
91,蛇胆陈皮散,25,213000,0,91400,易,-,-,-,-%,-%
30,更年安胶囊,25,241000,3,0,易,-,-,-,-%,-%
60,肝速康胶囊,24,329000,2,311000,易,-,-,-,-%,-%
55,利肝隆颗粒,24,142000,0,0,易,-,-,-,-%,-%
98,胃膜素,22,355000,0,9690000,易,-,-,-,-%,-%
97,穿心莲胶囊,21,862000,0,419000,易,-13%,+21%,+1400%,56.05%,43.95%
99,肌氨肽苷注射液,20,199000,0,263000,易,-,-,-,-%,-%
6,注射用水溶性维生素,20,3290000,0,55800,中等,-,-,-,-%,-%
51,沉香化滞丸,18,1360000,0,0,易,-,-,-,-%,-%
92,清喉咽颗粒,17,139000,0,1220000,易,-,-,-,-%,-%
65,盐酸异丙嗪注射液,17,617000,0,171000,易,-,-,-,-%,-%
59,注射用头孢美唑钠,16,87500,0,0,易,-,-,-,-%,-%
18,风热感冒颗粒,16,1380000,2,1390000,易,-,-,-,-%,-%
73,益视颗粒,13,87100,1,1640000,易,-,-,-,-%,-%
33,乳酸左氧氟沙星注射液,10,623000,0,0,易,-,-,-,-%,-%
3,肌苷氯化钠注射液,10,912000,4,211000,易,-,-,-,-%,-%
96,注射用盐酸丁咯地尔,9,275000,0,71800,易,-,-,-,-%,-%
77,益母草流浸膏,9,186000,0,89900,易,-,-,-,-%,-%
22,参桂再造丸,9,79200,2,0,易,-,-,-,-%,-%
95,藿香正气颗粒,8,1850000,0,666000,易,-,-,-,-%,-%
78,维生素c丸,6,8330000,0,2990000,中等,-,-,-,-%,-%
45,复方枇杷止咳颗粒,6,1150000,0,0,易,-,-,-,-%,-%
37,三磷酸胞苷二钠注射液,6,171000,2,0,易,-,-,-,-%,-%
35,注射用甘草酸二铵,5,389000,2,0,易,-,-,-,-%,-%
63,双氯芬酸钠注射液,4,485000,0,1140000,易,-,-,-,-%,-%
44,银翘解毒合剂,4,499000,2,0,易,-,-,-,-%,-%
82,葡萄糖酸依诺沙星,3,228000,0,72400,易,-,-,-,-%,-%
54,苏菲咳糖浆,3,80100,0,0,易,-,-,-,-%,-%
40,磺啶冰黄片,3,63100,0,0,易,-,-,-,-%,-%
67,葡萄糖氯化钠钾注射液,2,951000,2,282000,易,-,-,-,-%,-%
86,枸橼酸喷托维林糖浆,1,330000,0,47100,易,-,-,-,-%,-%
81,环扁桃酯胶囊,1,311000,2,129000,易,-,-,-,-%,-%
71,山梨醇注射液,1,292000,6,122000,易,-,-,-,-%,-%
36,止咳枇杷糖浆,1,1180000,0,0,易,-,-,-,-%,-%
31,那格列奈片,1,62300,0,0,易,-,-,-,-%,-%
24,芎菊上清丸,1,253000,0,0,易,-,-,-,-%,-%
100,地西泮注射液,0,538000,0,171000,易,-,-,-,-%,-%
94,复方磺胺甲噁唑颗粒,0,410000,0,120000,易,-,-,-,-%,-%
93,头孢米诺钠,0,324000,0,305000,易,-,-,-,-%,-%
89,乙型肝炎病毒核心抗体诊断试剂盒(酶联免疫法),0,753000,0,10100,易,-,-,-,-%,-%
88,消咳宁片,0,172000,0,467000,易,-,-,-,-%,-%
85,小儿复方磺胺二甲嘧啶散,0,48700,2,31100,易,-,-,-,-%,-%
83,抗感解毒颗粒,0,210000,0,183000,易,-,-,-,-%,-%
75,氯唑沙宗片,0,419000,0,249000,易,-,-,-,-%,-%
68,小儿喜食片,0,80100,0,688000,易,-,-,-,-%,-%
